Step	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-06_21-35 - train/loss	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-06_21-35 - train/loss__MIN	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-06_21-35 - train/loss__MAX
0	143.8594	143.8594	143.8594
1	99.6994	99.6994	99.6994
2	29.4499	29.4499	29.4499
3	16.0373	16.0373	16.0373
4	13.5549	13.5549	13.5549
5	12.7525	12.7525	12.7525
6	11.9678	11.9678	11.9678
7	11.6951	11.6951	11.6951
8	11.1065	11.1065	11.1065
9	10.6161	10.6161	10.6161
10	10.3475	10.3475	10.3475
12	10.1629	10.1629	10.1629
13	9.6993	9.6993	9.6993
14	9.4275	9.4275	9.4275
15	9.0023	9.0023	9.0023
16	8.8654	8.8654	8.8654
17	8.522	8.522	8.522
18	8.0744	8.0744	8.0744
19	7.8514	7.8514	7.8514
20	7.5121	7.5121	7.5121
21	7.3261	7.3261	7.3261
23	6.9878	6.9878	6.9878
24	6.6315	6.6315	6.6315
25	6.3852	6.3852	6.3852
26	6.1583	6.1583	6.1583
27	5.9072	5.9072	5.9072
28	5.585	5.585	5.585
29	5.3001	5.3001	5.3001
30	5.063	5.063	5.063
31	4.8704	4.8704	4.8704
32	4.729	4.729	4.729
34	4.5704	4.5704	4.5704
35	4.396	4.396	4.396
36	4.1929	4.1929	4.1929
37	4.0969	4.0969	4.0969
38	3.9492	3.9492	3.9492
39	3.8794	3.8794	3.8794
40	3.7092	3.7092	3.7092
41	3.6192	3.6192	3.6192
42	3.5413	3.5413	3.5413
43	3.4709	3.4709	3.4709
45	3.3834	3.3834	3.3834
46	3.2895	3.2895	3.2895
47	3.2208	3.2208	3.2208
48	3.194	3.194	3.194
49	3.143	3.143	3.143
50	3.0501	3.0501	3.0501
51	3.0028	3.0028	3.0028
52	2.9492	2.9492	2.9492
53	2.9548	2.9548	2.9548
54	2.9238	2.9238	2.9238
56	2.8969	2.8969	2.8969
57	2.8886	2.8886	2.8886
58	2.8246	2.8246	2.8246
59	2.7978	2.7978	2.7978
60	2.8071	2.8071	2.8071
61	2.7576	2.7576	2.7576
62	2.6958	2.6958	2.6958
63	2.6902	2.6902	2.6902
64	2.7045	2.7045	2.7045
65	2.7016	2.7016	2.7016
67	2.6324	2.6324	2.6324
68	2.651	2.651	2.651
69	2.6565	2.6565	2.6565
70	2.62	2.62	2.62
71	2.5946	2.5946	2.5946
72	2.5775	2.5775	2.5775
73	2.6274	2.6274	2.6274
74	2.6036	2.6036	2.6036
75	2.6004	2.6004	2.6004
76	2.5583	2.5583	2.5583
78	2.5484	2.5484	2.5484
79	2.5576	2.5576	2.5576
80	2.5443	2.5443	2.5443
81	2.5039	2.5039	2.5039
82	2.5447	2.5447	2.5447
83	2.5125	2.5125	2.5125
84	2.547	2.547	2.547
85	2.5065	2.5065	2.5065
86	2.5036	2.5036	2.5036
87	2.4907	2.4907	2.4907
89	2.5079	2.5079	2.5079
