Step	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-08_11-19 - train/loss	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-08_11-19 - train/loss__MIN	pre_train_from_scratch_hf_t5_c4_en_lr_0_0001_linear_bsz_256_shuffle_p_0_5_2024-03-08_11-19 - train/loss__MAX
0	2.0777	2.0777	2.0777
1	2.0238	2.0238	2.0238
2	2.0268	2.0268	2.0268
3	2.0464	2.0464	2.0464
4	2.0525	2.0525	2.0525
5	1.999	1.999	1.999
6	2.0364	2.0364	2.0364
7	2.0266	2.0266	2.0266
8	2.0337	2.0337	2.0337
9	2.0174	2.0174	2.0174
11	2.0436	2.0436	2.0436
12	2.0383	2.0383	2.0383
13	2.0115	2.0115	2.0115
14	2.0264	2.0264	2.0264
15	2.0108	2.0108	2.0108
16	2.0177	2.0177	2.0177
17	2.0463	2.0463	2.0463
18	2.0069	2.0069	2.0069
19	1.9939	1.9939	1.9939
20	2.0316	2.0316	2.0316
22	2.0222	2.0222	2.0222
23	2.0043	2.0043	2.0043
24	2.0047	2.0047	2.0047
25	2.0155	2.0155	2.0155
26	2.0361	2.0361	2.0361
27	2.01	2.01	2.01
28	2.0034	2.0034	2.0034
29	2.0013	2.0013	2.0013
30	2.007	2.007	2.007
31	2.0197	2.0197	2.0197
33	2.0047	2.0047	2.0047
34	2.0164	2.0164	2.0164
35	1.9975	1.9975	1.9975
36	1.9925	1.9925	1.9925
37	2.0061	2.0061	2.0061
38	1.9987	1.9987	1.9987
39	1.9959	1.9959	1.9959
40	2.0075	2.0075	2.0075
41	1.9922	1.9922	1.9922
42	1.9584	1.9584	1.9584
44	1.9826	1.9826	1.9826
45	2.0151	2.0151	2.0151
46	1.9638	1.9638	1.9638
47	2.0098	2.0098	2.0098
48	2.0036	2.0036	2.0036
49	1.9898	1.9898	1.9898
50	2.0113	2.0113	2.0113
51	1.9957	1.9957	1.9957
52	1.9784	1.9784	1.9784
53	1.9704	1.9704	1.9704
55	1.9938	1.9938	1.9938
56	1.9749	1.9749	1.9749
57	2.0086	2.0086	2.0086
58	1.9744	1.9744	1.9744
59	1.9747	1.9747	1.9747
60	1.9879	1.9879	1.9879
61	1.997	1.997	1.997
62	1.966	1.966	1.966
63	1.9769	1.9769	1.9769
64	1.9534	1.9534	1.9534
66	1.9746	1.9746	1.9746
67	1.9657	1.9657	1.9657
68	1.9545	1.9545	1.9545
69	1.9711	1.9711	1.9711
70	1.9698	1.9698	1.9698
71	1.9601	1.9601	1.9601
72	1.968	1.968	1.968
73	1.974	1.974	1.974
74	1.982	1.982	1.982
75	1.9768	1.9768	1.9768
77	1.9494	1.9494	1.9494
78	1.982	1.982	1.982
79	1.9636	1.9636	1.9636
80	1.9459	1.9459	1.9459
81	1.9667	1.9667	1.9667
82	1.9864	1.9864	1.9864
83	1.9653	1.9653	1.9653
84	1.93	1.93	1.93
85	1.9557	1.9557	1.9557
86	1.9455	1.9455	1.9455
88	1.9618	1.9618	1.9618
89	1.9508	1.9508	1.9508
90	1.9872	1.9872	1.9872
91	1.9677	1.9677	1.9677
92	1.943	1.943	1.943
93	1.9504	1.9504	1.9504
94	1.9473	1.9473	1.9473
95	1.9439	1.9439	1.9439
96	1.9721	1.9721	1.9721
97	1.9259	1.9259	1.9259
99	1.9511	1.9511	1.9511
100	1.9358	1.9358	1.9358
101	1.937	1.937	1.937
102	1.9724	1.9724	1.9724
103	1.9215	1.9215	1.9215
104	1.9498	1.9498	1.9498
105	1.9476	1.9476	1.9476
106	1.9544	1.9544	1.9544
107	1.9521	1.9521	1.9521
108	1.9581	1.9581	1.9581
110	1.9287	1.9287	1.9287
111	1.9445	1.9445	1.9445
112	1.9397	1.9397	1.9397
113	1.9584	1.9584	1.9584
114	1.9575	1.9575	1.9575
115	1.9372	1.9372	1.9372
116	1.9179	1.9179	1.9179
117	1.9559	1.9559	1.9559
118	1.9206	1.9206	1.9206
119	1.9289	1.9289	1.9289
121	1.9328	1.9328	1.9328
122	1.9237	1.9237	1.9237
123	1.9178	1.9178	1.9178
124	1.9429	1.9429	1.9429
125	1.9527	1.9527	1.9527
126	1.9639	1.9639	1.9639
127	1.9428	1.9428	1.9428
128	1.9357	1.9357	1.9357
129	1.9397	1.9397	1.9397
130	1.9124	1.9124	1.9124
132	1.9495	1.9495	1.9495
133	1.9198	1.9198	1.9198
134	1.9481	1.9481	1.9481
135	1.9083	1.9083	1.9083
136	1.9124	1.9124	1.9124
137	1.9266	1.9266	1.9266
138	1.9175	1.9175	1.9175
139	1.911	1.911	1.911
140	1.9346	1.9346	1.9346
141	1.9156	1.9156	1.9156
143	1.9189	1.9189	1.9189
144	1.9548	1.9548	1.9548
145	1.9002	1.9002	1.9002
146	1.9162	1.9162	1.9162
147	1.9186	1.9186	1.9186
148	1.9115	1.9115	1.9115
149	1.9148	1.9148	1.9148
150	1.9379	1.9379	1.9379
151	1.9434	1.9434	1.9434
152	1.9233	1.9233	1.9233
154	1.8959	1.8959	1.8959
155	1.9061	1.9061	1.9061
156	1.9017	1.9017	1.9017
157	1.9098	1.9098	1.9098
158	1.9048	1.9048	1.9048
159	1.9205	1.9205	1.9205
160	1.9083	1.9083	1.9083
161	1.8973	1.8973	1.8973
162	1.9194	1.9194	1.9194
163	1.9142	1.9142	1.9142
165	1.9239	1.9239	1.9239
166	1.9186	1.9186	1.9186
167	1.909	1.909	1.909
168	1.8801	1.8801	1.8801
169	1.9016	1.9016	1.9016
170	1.9206	1.9206	1.9206
171	1.9207	1.9207	1.9207
172	1.9215	1.9215	1.9215
173	1.936	1.936	1.936
174	1.8802	1.8802	1.8802
176	1.9093	1.9093	1.9093
177	1.8896	1.8896	1.8896
178	1.9075	1.9075	1.9075
179	1.8902	1.8902	1.8902
180	1.9036	1.9036	1.9036
181	1.8571	1.8571	1.8571
182	1.9061	1.9061	1.9061
183	1.8664	1.8664	1.8664
184	1.9109	1.9109	1.9109
185	1.916	1.916	1.916
187	1.8859	1.8859	1.8859
188	1.9031	1.9031	1.9031
189	1.8927	1.8927	1.8927
190	1.895	1.895	1.895
191	1.8849	1.8849	1.8849
192	1.9074	1.9074	1.9074
193	1.9012	1.9012	1.9012
194	1.9351	1.9351	1.9351
195	1.9054	1.9054	1.9054
196	1.901	1.901	1.901
198	1.9107	1.9107	1.9107
199	1.9259	1.9259	1.9259
200	1.8801	1.8801	1.8801
201	1.8869	1.8869	1.8869
202	1.8674	1.8674	1.8674
203	1.9169	1.9169	1.9169
204	1.8874	1.8874	1.8874
205	1.9002	1.9002	1.9002
206	1.8957	1.8957	1.8957
207	1.876	1.876	1.876
209	1.8876	1.8876	1.8876
210	1.8829	1.8829	1.8829
211	1.88	1.88	1.88
212	1.8875	1.8875	1.8875
213	1.866	1.866	1.866
214	1.8866	1.8866	1.8866
215	1.8863	1.8863	1.8863
216	1.8674	1.8674	1.8674
217	1.8789	1.8789	1.8789
218	1.8806	1.8806	1.8806
220	1.8665	1.8665	1.8665
221	1.8777	1.8777	1.8777
222	1.8756	1.8756	1.8756
223	1.854	1.854	1.854
224	1.8745	1.8745	1.8745
225	1.8851	1.8851	1.8851
226	1.8933	1.8933	1.8933
227	1.8873	1.8873	1.8873
228	1.8632	1.8632	1.8632
229	1.8901	1.8901	1.8901
231	1.878	1.878	1.878
232	1.874	1.874	1.874
233	1.8469	1.8469	1.8469
234	1.8582	1.8582	1.8582
235	1.8853	1.8853	1.8853
236	1.8702	1.8702	1.8702
237	1.8761	1.8761	1.8761
238	1.8722	1.8722	1.8722
239	1.8622	1.8622	1.8622
240	1.8777	1.8777	1.8777
242	1.8728	1.8728	1.8728
243	1.8664	1.8664	1.8664
244	1.8664	1.8664	1.8664
245	1.8557	1.8557	1.8557
246	1.8521	1.8521	1.8521
247	1.8577	1.8577	1.8577
248	1.8392	1.8392	1.8392
249	1.8411	1.8411	1.8411
250	1.8459	1.8459	1.8459
251	1.8431	1.8431	1.8431
253	1.8335	1.8335	1.8335
254	1.846	1.846	1.846
255	1.8284	1.8284	1.8284
256	1.8434	1.8434	1.8434
257	1.8698	1.8698	1.8698
258	1.8644	1.8644	1.8644
259	1.8333	1.8333	1.8333
260	1.8377	1.8377	1.8377
261	1.8725	1.8725	1.8725
262	1.8546	1.8546	1.8546
264	1.8671	1.8671	1.8671
265	1.846	1.846	1.846
266	1.8363	1.8363	1.8363
267	1.8501	1.8501	1.8501
268	1.8509	1.8509	1.8509
269	1.8593	1.8593	1.8593
270	1.8489	1.8489	1.8489
271	1.8383	1.8383	1.8383
272	1.8258	1.8258	1.8258
273	1.8202	1.8202	1.8202
275	1.8397	1.8397	1.8397
276	1.8591	1.8591	1.8591
277	1.8292	1.8292	1.8292
278	1.8312	1.8312	1.8312
279	1.8274	1.8274	1.8274
280	1.8353	1.8353	1.8353
281	1.8176	1.8176	1.8176
282	1.8258	1.8258	1.8258
283	1.8447	1.8447	1.8447
284	1.8497	1.8497	1.8497
286	1.8373	1.8373	1.8373
287	1.8347	1.8347	1.8347
288	1.8255	1.8255	1.8255
289	1.827	1.827	1.827
290	1.8002	1.8002	1.8002
291	1.8404	1.8404	1.8404
292	1.8114	1.8114	1.8114
293	1.8101	1.8101	1.8101
294	1.804	1.804	1.804
295	1.8277	1.8277	1.8277
297	1.8059	1.8059	1.8059
298	1.8356	1.8356	1.8356
299	1.8198	1.8198	1.8198
300	1.8371	1.8371	1.8371
301	1.8168	1.8168	1.8168
302	1.8348	1.8348	1.8348
303	1.8206	1.8206	1.8206
304	1.8059	1.8059	1.8059
305	1.8168	1.8168	1.8168
306	1.8338	1.8338	1.8338
308	1.8137	1.8137	1.8137
309	1.8153	1.8153	1.8153
310	1.7989	1.7989	1.7989
311	1.8134	1.8134	1.8134
312	1.8137	1.8137	1.8137
313	1.8167	1.8167	1.8167
314	1.8007	1.8007	1.8007
315	1.8217	1.8217	1.8217
316	1.8107	1.8107	1.8107
317	1.7999	1.7999	1.7999
319	1.8006	1.8006	1.8006
320	1.8166	1.8166	1.8166
321	1.8084	1.8084	1.8084
322	1.8126	1.8126	1.8126
323	1.8053	1.8053	1.8053
324	1.7838	1.7838	1.7838
325	1.7926	1.7926	1.7926
326	1.8189	1.8189	1.8189
327	1.7791	1.7791	1.7791
328	1.806	1.806	1.806
330	1.7942	1.7942	1.7942
331	1.8152	1.8152	1.8152
332	1.7996	1.7996	1.7996
333	1.7932	1.7932	1.7932
334	1.8147	1.8147	1.8147
335	1.8085	1.8085	1.8085
336	1.7834	1.7834	1.7834
337	1.7958	1.7958	1.7958
338	1.7958	1.7958	1.7958
339	1.7852	1.7852	1.7852
341	1.7977	1.7977	1.7977
342	1.7986	1.7986	1.7986
343	1.7693	1.7693	1.7693
344	1.784	1.784	1.784
345	1.7944	1.7944	1.7944
346	1.7942	1.7942	1.7942
347	1.7887	1.7887	1.7887
348	1.7881	1.7881	1.7881
349	1.783	1.783	1.783
350	1.7892	1.7892	1.7892
352	1.8006	1.8006	1.8006
353	1.776	1.776	1.776
354	1.7911	1.7911	1.7911
355	1.7788	1.7788	1.7788
356	1.8068	1.8068	1.8068
357	1.781	1.781	1.781
358	1.796	1.796	1.796
359	1.7909	1.7909	1.7909
360	1.7556	1.7556	1.7556
361	1.7764	1.7764	1.7764
363	1.7588	1.7588	1.7588
364	1.8099	1.8099	1.8099
365	1.7694	1.7694	1.7694
366	1.7657	1.7657	1.7657
367	1.7941	1.7941	1.7941
368	1.7841	1.7841	1.7841
369	1.8041	1.8041	1.8041
370	1.7883	1.7883	1.7883
371	1.7864	1.7864	1.7864
372	1.7819	1.7819	1.7819
374	1.7463	1.7463	1.7463
375	1.7845	1.7845	1.7845
376	1.7655	1.7655	1.7655
377	1.7671	1.7671	1.7671
378	1.7971	1.7971	1.7971
379	1.7505	1.7505	1.7505
380	1.7612	1.7612	1.7612
381	1.7773	1.7773	1.7773
382	1.7658	1.7658	1.7658
383	1.7593	1.7593	1.7593
385	1.7638	1.7638	1.7638
386	1.7382	1.7382	1.7382
387	1.7943	1.7943	1.7943
388	1.7836	1.7836	1.7836
389	1.7721	1.7721	1.7721
390	1.7584	1.7584	1.7584
391	1.7796	1.7796	1.7796
392	1.7643	1.7643	1.7643
393	1.7511	1.7511	1.7511
394	1.7879	1.7879	1.7879
396	1.7852	1.7852	1.7852
397	1.7789	1.7789	1.7789
398	1.7735	1.7735	1.7735
399	1.7396	1.7396	1.7396
400	1.7564	1.7564	1.7564
401	1.7833	1.7833	1.7833
402	1.7944	1.7944	1.7944
403	1.7614	1.7614	1.7614
404	1.7549	1.7549	1.7549
405	1.7522	1.7522	1.7522
407	1.7526	1.7526	1.7526
408	1.7615	1.7615	1.7615
409	1.7426	1.7426	1.7426
410	1.7527	1.7527	1.7527
411	1.7564	1.7564	1.7564
412	1.7685	1.7685	1.7685
413	1.7781	1.7781	1.7781
414	1.7469	1.7469	1.7469
415	1.7615	1.7615	1.7615
416	1.7635	1.7635	1.7635
418	1.7615	1.7615	1.7615
419	1.7632	1.7632	1.7632
420	1.7709	1.7709	1.7709
421	1.7648	1.7648	1.7648
422	1.7653	1.7653	1.7653
423	1.7654	1.7654	1.7654
424	1.7345	1.7345	1.7345
425	1.7438	1.7438	1.7438
426	1.7535	1.7535	1.7535
427	1.7405	1.7405	1.7405
429	1.7586	1.7586	1.7586
430	1.7411	1.7411	1.7411
431	1.7476	1.7476	1.7476
432	1.7271	1.7271	1.7271
433	1.7862	1.7862	1.7862
434	1.7273	1.7273	1.7273
435	1.7525	1.7525	1.7525
436	1.7279	1.7279	1.7279
437	1.7503	1.7503	1.7503
438	1.719	1.719	1.719
